userHash,beginTime,latitude,month,location,label
00150e0217825c0cae62642693f38b9b,2020-11-28 11:26:36,25.09,11,台北,0
001ea1937147abebe3666d3c6de208d3,2020-02-15 17:48:16,25.09,2,台北,0
00225616898a2db23df8d28518ba855e,2020-11-25 21:24:27,25.05,11,台北,1
00281ee35b3f9a6c2992427fb3ae42f3,2020-11-30 08:56:48,25.04,11,台北,0
00285619ea72555441305356c2196d42,2020-12-27 07:55:53,24.96,12,台北,0
0037b600e2ab766bd17e93bd1974b922,2020-09-30 21:23:58,25.02,9,台北,1
0045f5b75953e84736e2c8b3097dcb5a,2020-11-21 06:33:38,24.07,11,線上,0
004f8b41db7d43d8c2562dbbc6cc629e,2020-11-07 16:15:56,24.15,11,線上,1
0050a6da4d181cea0fb7165e2ae950d4,2020-12-29 06:22:33,24.4,12,線上,0
00631a0792d6eb72c2054eff779139f9,2020-12-13 08:21:47,24.81,12,台北,0
007cb386b007637e0c8878351ad15e1c,2020-09-29 06:11:15,25.05,9,台北,0
0089276f2ad7d8f544d18c3b228dcf8a,2020-12-29 20:23:08,24.97,12,台北,1
009e34c1f37387e32c1c7a5a12380e9b,2020-01-09 12:18:04,25.0,1,台北,0
00a1c7615fa33d43edaf8599cfb69a1a,2020-11-28 09:16:27,25.05,11,台北,1
00b4fe6ef20da29abe558343e788230e,2020-11-18 20:19:32,25.11,11,台北,1
00d476edf5f022a180d7c22caf77b314,2020-12-22 05:51:38,24.99,12,台北,1
00de9c1c6ffd051523efd39548f48fe7,2020-11-20 13:21:43,38.88,11,台北,0
00df6d62e8da13d7cb16800a1a519e54,2020-10-21 20:02:44,24.99,10,台北,1
00ec19bd72448fd06ea14d77da20ff0f,2020-11-26 18:57:35,22.65,11,高雄,0
00f6c23ad70bc20fa9a7b4779d89b620,2020-08-07 19:28:36,25.06,8,台北,1
00f9d618f3e88b7340eb84269266d4eb,2020-08-24 20:17:41,23.95,8,線上,0
00fc2986d9eb3a2dee6350c238d897f1,2020-12-27 18:11:12,22.96,12,高雄,0
00ffedb9fa6799a9c90b784df049cf8d,2020-05-01 13:01:43,24.99,5,台北,1
01071cb70c1b1a031800d83322751ff1,2020-11-18 12:38:03,25.06,11,台北,0
010b0a18c6577cd86fdcf0c6fc1c9d14,2020-12-15 07:32:05,23.99,12,線上,1
011eda7bae7951a61b3d9ac5456f8439,2020-07-11 11:39:35,24.06,7,線上,1
01368eef2b81bb733b23ef6dadea6884,2020-04-14 22:37:13,25.0,4,台北,1
013b82d2b77cf9171815a0e404f44952,2020-05-13 19:19:33,24.95,5,台北,0
014a3de569595bc68a6f6e48497ed8fd,2020-11-06 13:20:53,25.04,11,台北,0
01501fd3304611c690d93f883ca8343b,2020-11-21 23:04:23,24.16,11,線上,0
01635bad4aa9971f6e5c38e172c5bfcc,2020-12-28 10:56:37,25.03,12,台北,1
017c55b859733c6bd7ee43197765dc22,2020-09-29 13:59:11,25.05,9,台北,0
019d6c6cec19e7ed53f5d9dad28a7f99,2020-04-30 19:27:41,24.92,4,台北,0
01a6b5ba6c88dbf34dd683032294ccd2,2020-11-24 17:45:39,25.04,11,台北,1
01c19caba3c8a9a6374135df6a98067e,2020-10-31 19:13:18,24.79,10,台北,0
01e07738de61c22206cfbae711311b50,2020-11-03 20:01:27,23.02,11,高雄,0
01f143927ae4ce1eee2b049208a0569e,2020-12-28 07:40:07,25.06,12,台北,0
020f87f84591c7baeff5eb0e8bcfa172,2020-12-31 07:23:41,22.75,12,高雄,1
022b12061af2b2e1144c6125f121925d,2020-07-11 19:40:30,24.76,7,台北,1
024fcb2c41ced539f3643cffa28f6b43,2020-11-26 18:19:49,25.06,11,台北,0
027cc4896157506f472ac2703f0bcb3b,2020-11-23 18:30:34,24.12,11,線上,1
029630a58ee5b1f00424e35a260ccb96,2020-10-15 22:39:40,25.03,10,台北,0
029bc9bd5fd517bc6586cee4c75ac7d1,2020-11-30 20:53:06,25.06,11,台北,0
02a93bb4959557990643d499d074b8ac,2020-04-27 15:23:21,25.08,4,台北,0
02bb7afbc418bb5f7796570c61554876,2020-11-25 19:55:06,25.01,11,台北,0
02c33e83dc90df97622297c1ed07dfcc,2020-12-03 08:39:46,25.09,12,台北,0
02d62d133dc36516b75fed88611ee74a,2020-05-15 14:40:54,25.06,5,台北,1
02e1abdca1cad85d8a66c7f47cf9813c,2020-09-20 20:45:14,24.17,9,線上,1
02e8869265482c37edcf986edd3510df,2020-11-25 18:59:54,24.67,11,台北,1
030eb489f3e5004d49b2a9d034957091,2020-12-30 19:44:45,23.02,12,高雄,0
03177baea07141d14d5839f77091741a,2020-05-06 00:44:07,25.03,5,台北,1
0324bd8710812b355218938cb1e66810,2020-11-22 18:00:07,22.99,11,高雄,1
0327011000c3f81456601311ee71a55b,2020-08-24 12:24:24,22.97,8,高雄,1
032c1537d727e3b6e588a6f647301e3f,2020-08-23 09:52:40,22.37,8,高雄,0
03399d21fe6e26841d9d091f8c9f55e0,2020-01-23 15:01:35,24.79,1,台北,1
034a276b0eafbcb4bd080cbedf0f605b,2020-12-22 20:29:39,22.87,12,高雄,1
034b84c813da59e30c3864edc5c669e7,2020-12-22 20:28:18,39.9,12,台北,0
034e9015378be8398a10a7418c0414c2,2020-10-12 19:13:09,24.96,10,台北,0
0350dbe1275575e7492c31fb10eeec7d,2020-09-30 20:52:17,25.08,9,台北,0
035146c690192fb5a861a655ea2be971,2020-11-22 16:27:25,23.06,11,高雄,0
0357aea558fe500b692e6c0cf626abad,2020-11-26 18:32:35,25.04,11,台北,1
0380fffcc46f8437b15930f2acf652d5,2020-06-05 19:04:53,24.99,6,台北,1
039c7ca036a1898a365648ce9ace6d07,2020-09-15 18:52:08,24.82,9,台北,0
